domain,date,records
Condition era,1950-01-01T00:00:00Z,1
Condition era,1951-12-01T00:00:00Z,0.5
Condition era,1959-09-01T00:00:00Z,0.17
Condition era,1961-06-01T00:00:00Z,0.17
Condition era,1962-12-01T00:00:00Z,0.14
Condition era,1966-08-01T00:00:00Z,0.09
Condition era,1967-04-01T00:00:00Z,0.09
Condition era,1967-08-01T00:00:00Z,0.08
Condition era,1968-07-01T00:00:00Z,0.08
Condition era,1969-01-01T00:00:00Z,0.08
Condition era,1969-03-01T00:00:00Z,0.13
Condition era,1969-07-01T00:00:00Z,0.07
Condition era,1969-12-01T00:00:00Z,0.06
Condition era,1970-03-01T00:00:00Z,0.19
Condition era,1971-07-01T00:00:00Z,0.06
Condition era,1972-04-01T00:00:00Z,0.06
Condition era,1972-10-01T00:00:00Z,0.06
Condition era,1972-11-01T00:00:00Z,0.06
Condition era,1972-12-01T00:00:00Z,0.11
Condition era,1973-02-01T00:00:00Z,0.06
Condition era,1973-03-01T00:00:00Z,0.06
Condition era,1973-09-01T00:00:00Z,0.06
Condition era,1973-11-01T00:00:00Z,0.06
Condition era,1973-12-01T00:00:00Z,0.05
Condition era,1974-04-01T00:00:00Z,0.05
Condition era,1974-08-01T00:00:00Z,0.2
Condition era,1974-11-01T00:00:00Z,0.05
Condition era,1975-04-01T00:00:00Z,0.1
Condition era,1975-08-01T00:00:00Z,0.05
Condition era,1975-11-01T00:00:00Z,0.05
Condition era,1975-12-01T00:00:00Z,0.09
Condition era,1976-02-01T00:00:00Z,0.04
Condition era,1976-05-01T00:00:00Z,0.04
Condition era,1976-07-01T00:00:00Z,0.04
Condition era,1976-08-01T00:00:00Z,0.12
Condition era,1976-09-01T00:00:00Z,0.04
Condition era,1976-10-01T00:00:00Z,0.04
Condition era,1976-11-01T00:00:00Z,0.04
Condition era,1976-12-01T00:00:00Z,0.04
Condition era,1977-06-01T00:00:00Z,0.04
Condition era,1978-09-01T00:00:00Z,0.07
Condition era,1978-11-01T00:00:00Z,0.04
Condition era,1979-02-01T00:00:00Z,0.04
Condition era,1979-08-01T00:00:00Z,0.04
Condition era,1979-12-01T00:00:00Z,0.03
Condition era,1980-05-01T00:00:00Z,0.03
Condition era,1980-06-01T00:00:00Z,0.07
Condition era,1981-02-01T00:00:00Z,0.03
Condition era,1981-03-01T00:00:00Z,0.03
Condition era,1981-08-01T00:00:00Z,0.03
Condition era,1981-09-01T00:00:00Z,0.03
Condition era,1982-01-01T00:00:00Z,0.03
Condition era,1982-08-01T00:00:00Z,0.03
Condition era,1982-11-01T00:00:00Z,0.03
Condition era,1983-01-01T00:00:00Z,0.03
Condition era,1983-05-01T00:00:00Z,0.03
Condition era,1983-07-01T00:00:00Z,0.03
Condition era,1983-08-01T00:00:00Z,0.05
Condition era,1983-10-01T00:00:00Z,0.03
Condition era,1984-01-01T00:00:00Z,0.03
Condition era,1984-02-01T00:00:00Z,0.08
Condition era,1984-05-01T00:00:00Z,0.08
Condition era,1984-07-01T00:00:00Z,0.08
Condition era,1984-08-01T00:00:00Z,0.03
Condition era,1985-05-01T00:00:00Z,0.03
Condition era,1985-06-01T00:00:00Z,0.03
Condition era,1985-10-01T00:00:00Z,0.03
Condition era,1985-11-01T00:00:00Z,0.03
Condition era,1986-01-01T00:00:00Z,0.05
Condition era,1986-02-01T00:00:00Z,0.03
Condition era,1986-03-01T00:00:00Z,0.03
Condition era,1986-04-01T00:00:00Z,0.03
Condition era,1986-05-01T00:00:00Z,0.03
Condition era,1986-07-01T00:00:00Z,0.05
Condition era,1986-09-01T00:00:00Z,0.03
Condition era,1987-01-01T00:00:00Z,0.03
Condition era,1987-03-01T00:00:00Z,0.03
Condition era,1987-04-01T00:00:00Z,0.03
Condition era,1987-05-01T00:00:00Z,0.03
Condition era,1987-06-01T00:00:00Z,0.03
Condition era,1987-08-01T00:00:00Z,0.03
Condition era,1987-10-01T00:00:00Z,0.03
Condition era,1988-04-01T00:00:00Z,0.03
Condition era,1988-07-01T00:00:00Z,0.03
Condition era,1988-10-01T00:00:00Z,0.03
Condition era,1988-12-01T00:00:00Z,0.02
Condition era,1989-03-01T00:00:00Z,0.03
Condition era,1989-05-01T00:00:00Z,0.05
Condition era,1989-06-01T00:00:00Z,0.05
Condition era,1989-07-01T00:00:00Z,0.03
Condition era,1989-08-01T00:00:00Z,0.03
Condition era,1990-01-01T00:00:00Z,0.02
Condition era,1990-03-01T00:00:00Z,0.12
Condition era,1990-05-01T00:00:00Z,0.02
Condition era,1990-06-01T00:00:00Z,0.07
Condition era,1990-09-01T00:00:00Z,0.02
Condition era,1990-10-01T00:00:00Z,0.05
Condition era,1990-11-01T00:00:00Z,0.02
Condition era,1991-01-01T00:00:00Z,0.05
Condition era,1991-02-01T00:00:00Z,0.02
Condition era,1991-03-01T00:00:00Z,0.02
Condition era,1991-06-01T00:00:00Z,0.05
Condition era,1991-07-01T00:00:00Z,0.02
Condition era,1991-10-01T00:00:00Z,0.09
Condition era,1991-11-01T00:00:00Z,0.02
Condition era,1991-12-01T00:00:00Z,0.06
Condition era,1992-02-01T00:00:00Z,0.02
Condition era,1992-03-01T00:00:00Z,0.04
Condition era,1992-08-01T00:00:00Z,0.02
Condition era,1992-11-01T00:00:00Z,0.06
Condition era,1993-03-01T00:00:00Z,0.06
Condition era,1993-05-01T00:00:00Z,0.02
Condition era,1993-06-01T00:00:00Z,0.04
Condition era,1993-07-01T00:00:00Z,0.04
Condition era,1993-08-01T00:00:00Z,0.02
Condition era,1993-10-01T00:00:00Z,0.02
Condition era,1993-11-01T00:00:00Z,0.02
Condition era,1994-02-01T00:00:00Z,0.02
Condition era,1994-07-01T00:00:00Z,0.02
Condition era,1994-12-01T00:00:00Z,0.04
Condition era,1995-05-01T00:00:00Z,0.02
Condition era,1995-08-01T00:00:00Z,0.02
Condition era,1995-11-01T00:00:00Z,0.02
Condition era,1995-12-01T00:00:00Z,0.04
Condition era,1996-01-01T00:00:00Z,0.04
Condition era,1996-02-01T00:00:00Z,0.02
Condition era,1996-03-01T00:00:00Z,0.09
Condition era,1996-04-01T00:00:00Z,0.02
Condition era,1996-05-01T00:00:00Z,0.02
Condition era,1996-06-01T00:00:00Z,0.02
Condition era,1996-08-01T00:00:00Z,0.02
