CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
40213154,"Influenza, split virus, trivalent, injectable, preservative free",107,0.9816, 14.7,1,2
40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)",79,0.7248,  1.9,1,3
1127433,acetaminophen 325 MG Oral Tablet,60,0.5505,  1.7,1,4
40213180,"meningococcal polysaccharide (groups A, C, Y and W-135) diphtheria toxoid conjugate vaccine (MCV4P)",43,0.3945,  2.0,1,3
1713671,amoxicillin 250 MG / clavulanate 125 MG Oral Tablet,38,0.3486,  1.2,1,5
40213296,"hepatitis A vaccine, adult dosage",35,0.3211,  1.9,1,3
40213320,"human papilloma virus vaccine, quadrivalent",35,0.3211,  2.5,1,3
40213260,"zoster vaccine, live",34,0.3119,  1.9,1,3
40213198,"pneumococcal conjugate vaccine, 13 valent",33,0.3028,  2.7,1,3
40213281,"diphtheria, tetanus toxoids and acellular pertussis vaccine",32,0.2936,  3.8,1,2
40213160,"poliovirus vaccine, inactivated",32,0.2936,  3.1,1,2
1115171,naproxen sodium 220 MG Oral Tablet,31,0.2844,  1.2,1,5
40213251,varicella virus vaccine,31,0.2844,  1.6,1,4
40213306,"hepatitis B vaccine, adult dosage",31,0.2844,  1.5,1,4
19078461,ibuprofen 200 MG Oral Tablet,31,0.2844,  1.3,1,4
40213216,"rotavirus, live, monovalent vaccine",27,0.2477,  1.9,1,3
19078106,hydrochlorothiazide 25 MG Oral Tablet,26,0.2385, 37.6,2,1
40213299,"hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule",26,0.2385,  1.9,2,3
40213314,"Haemophilus influenzae type b vaccine, PRP-OMP conjugate",26,0.2385,  2.8,2,3
40213230,"tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed",24,0.2202,  1.0,2,5
40229134,acetaminophen 21.7 MG/ML / dextromethorphan hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,22,0.2018,  1.0,2,5
19080128,lisinopril 10 MG Oral Tablet,22,0.2018, 38.1,2,1
19073094,amlodipine 2.5 MG Oral Tablet,21,0.1927, 35.5,2,1
19127904,{24 (drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 4 (inert ingredients 1 MG Oral Tablet) } Pack [Yaz 28 Day],19,0.1743,  1.4,2,4
40224805,1 ML medroxyprogesterone acetate 150 MG/ML Injection,18,0.1651,  1.4,2,4
19079924,acetaminophen 160 MG Chewable Tablet,17,0.1560,  1.7,2,4
19019979,ibuprofen 100 MG Oral Tablet,17,0.1560,  1.5,2,4
19129144,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Jolivette 28 Day],16,0.1468,  2.4,2,3
19073188,amoxicillin 500 MG Oral Tablet,16,0.1468,  1.2,2,5
1519937,etonogestrel 68 MG Drug Implant,16,0.1468,  1.5,2,4
19127922,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Camila 28 Day],15,0.1376,  1.5,2,4
19128009,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique],15,0.1376,  1.3,2,4
40221415,{5 (dienogest 2 MG / estradiol valerate 2 MG Oral Tablet) / 17 (dienogest 3 MG / estradiol valerate 2 MG Oral Tablet) / 2 (estradiol valerate 1 MG Oral Tablet) / 2 (estradiol valerate 3 MG Oral Tablet) / 2 (inert ingredients 1 MG Oral Tablet) } Pack [N...,14,0.1284,  1.3,3,5
19133905,penicillin V potassium 500 MG Oral Tablet,14,0.1284,  1.1,3,5
19128263,{7 (ethinyl estradiol 0.035 MG / norgestimate 0.18 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.215 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack...,14,0.1284,  1.4,3,4
19075601,clopidogrel 75 MG Oral Tablet,12,0.1101,  1.0,3,5
19132304,levonorgestrel 0.000833 MG/HR Intrauterine System [Mirena],12,0.1101,  1.2,3,5
43012433,21 DAY ethinyl estradiol 0.000625 MG/HR / etonogestrel 0.005 MG/HR Vaginal System [NuvaRing],12,0.1101,  1.0,3,5
40166824,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,11,0.1009,  1.0,3,5
1539411,simvastatin 20 MG Oral Tablet,11,0.1009,  1.0,3,6
1539463,simvastatin 10 MG Oral Tablet,11,0.1009, 10.6,3,2
19127918,{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Levora 0.15/30 28 Day],11,0.1009,  1.5,3,4
19133679,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Errin 28 Day],11,0.1009,  1.3,3,5
19126352,nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,11,0.1009,  1.0,3,6
40213201,"pneumococcal polysaccharide vaccine, 23 valent",9,0.0826,  1.0,3,6
44816277,168 HR ethinyl estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,9,0.0826,  1.0,3,6
19133873,penicillin V potassium 250 MG Oral Tablet,9,0.0826,  1.6,3,4
1786652,cephalexin 500 MG Oral Tablet,9,0.0826,  1.0,4,6
46234346,"nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule",9,0.0826,  1.2,4,5
40162606,acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet,8,0.0734, 11.9,4,2
1594382,NDA020800 0.3 ML epinephrine 1 MG/ML Auto-Injector,8,0.0734,  1.0,4,6
40162522,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet,7,0.0642,  1.0,4,6
19009384,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Humulin]",7,0.0642, 64.7,4,1
40169281,60 ACTUAT fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,5,0.0459, 22.2,4,1
