CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
43054909,Tobacco smoking status,109,1.0000,23.0,1,1
4199788,Medication review due,109,1.0000,11.8,1,3
42868746,Generalized anxiety disorder 7 item (GAD-7) total score [Reported.PHQ],90,0.8257,11.3,1,3
37020730,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living",88,0.8073,20.4,1,1
40766239,How many people are living or staying at this address [#],88,0.8073,20.4,1,1
46235654,Primary insurance,88,0.8073,20.4,1,1
37020774,Have you or any family members you live with been unable to get any of the following when it was really needed in past 1 year [PRAPARE],88,0.8073,20.4,1,1
40759918,Address,88,0.8073,20.4,1,1
40770471,Employment status - current,88,0.8073,20.4,1,1
42869557,Housing status,88,0.8073,20.5,2,1
37020580,Are you a refugee,88,0.8073,20.4,2,1
37020116,Stress level,88,0.8073,20.4,2,2
37021580,Discharged from the U.S. Armed Forces,88,0.8073,20.4,2,2
37020108,Do you feel physically and emotionally safe where you currently live [PRAPARE],88,0.8073,20.4,2,2
37020846,Has season or migrant farm work been your or your family's main source of income at any point in past 2 years [PRAPARE],88,0.8073,20.4,2,2
46235507,"Within the last year, have you been afraid of your partner or ex-partner",88,0.8073,20.4,2,2
40766311,"What was your best estimate of the total income of all family members from all sources, before taxes, in last year [PhenX]",88,0.8073,20.4,2,2
37020032,How often do you see or talk to people that you care about and feel close to [PRAPARE],88,0.8073,20.4,2,2
37020172,Are you worried about losing your housing [PRAPARE],88,0.8073,20.4,3,2
40758030,Preferred language,88,0.8073,20.4,3,2
42528763,Highest level of education,88,0.8073,20.4,3,3
37021367,"Have you spent more than 2 nights in a row in a jail, prison, detention center, or juvenile correctional facility in past 1 year [PRAPARE]",88,0.8073,20.4,3,3
40759172,Hispanic or Latino,88,0.8073,20.4,3,3
3046853,Race,88,0.8073,20.4,3,3
40758879,Patient Health Questionnaire 2 item (PHQ-2) total score [Reported],87,0.7982,16.2,3,3
4053118,Full-time employment,86,0.7890, 5.2,3,4
4251306,Stress,85,0.7798, 5.4,3,4
46234808,Total score [HARK],80,0.7339, 7.1,4,4
46235357,Total score [AUDIT-C],79,0.7248, 6.9,4,4
42529243,Total score [DAST-10],78,0.7156, 6.8,4,4
4059634,Part-time employment,75,0.6881, 4.2,4,4
42538208,Not in labor force,68,0.6238, 2.1,4,5
4309238,Social isolation,68,0.6238, 2.0,4,5
4172829,Limited social contact,66,0.6055, 2.6,4,4
45768458,Victim of intimate partner abuse,60,0.5505, 1.8,4,6
4076230,Received higher education,54,0.4954, 1.0,4,7
4060985,Body mass index 30+ - obesity,49,0.4495, 1.0,5,7
4251171,Unemployed,45,0.4128, 1.8,5,6
3042932,Patient Health Questionnaire 9 item (PHQ-9) total score [Reported],44,0.4037, 2.0,5,5
4313322,Reports of violence in the environment,43,0.3945, 1.9,5,6
