"source_code","source_concept_id","source_code_description","source_vocabulary_id","source_domain_id","source_concept_class_id","source_valid_start_date","source_valid_end_date","source_invalid_reason","target_concept_id","target_concept_name","target_vocabulary_id","target_domain_id","target_concept_class_id","target_invalid_reason","target_standard_concept"
%,8554,percent,UCUM,Unit,Unit,19700101,20991231,,8554,percent,UCUM,Unit,Unit,,S
%{HbA1c},9225,percent hemoglobin A1c,UCUM,Unit,Unit,19700101,20991231,,9225,percent hemoglobin A1c,UCUM,Unit,Unit,,S
%{of'HGB},8737,percent hemoglobin,UCUM,Unit,Unit,19700101,20991231,,8737,percent hemoglobin,UCUM,Unit,Unit,,S
%{tot},8632,percent total,UCUM,Unit,Unit,19700101,20991231,,8632,percent total,UCUM,Unit,Unit,,S
/[HPF],8786,per high power field,UCUM,Unit,Unit,19700101,20991231,,8786,per high power field,UCUM,Unit,Unit,,S
/[LPF],8765,per low powered field,UCUM,Unit,Unit,19700101,20991231,,8765,per low powered field,UCUM,Unit,Unit,,S
/min,8541,per minute,UCUM,Unit,Unit,19700101,20991231,,8541,per minute,UCUM,Unit,Unit,,S
/mm3,8785,per cubic millimeter,UCUM,Unit,Unit,19700101,20991231,,8785,per cubic millimeter,UCUM,Unit,Unit,,S
/uL,8647,per microliter,UCUM,Unit,Unit,19700101,20991231,,8647,per microliter,UCUM,Unit,Unit,,S
"002e3d65-894e-4778-8945-01e71e29e288",45669461,SULFAMETHOXAZOLE AND TRIMETHOPRIM - sulfamethoxazole and trimethoprim tablet,SPL,Drug,Prescription Drug,20151106,20991231,,1836434,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"0044e8e5-47f4-4e7e-88b8-ede11b18b0aa",45652923,ALLERGY ANTIHISTAMINE - diphenhydramine hcl tablet,SPL,Drug,OTC Drug,20181205,20991231,,40232448,diphenhydramine hydrochloride 25 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"00653b7c-7099-487e-9a01-e89781c21323",45652927,"IBUPROFEN DYE FREE - ibuprofen tablet, film coated",SPL,Drug,OTC Drug,20250401,20991231,,19078461,ibuprofen 200 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"0068711f-cb30-46c6-bc86-f4722a6df740",45630745,"ibuprofen 200mg/1 ORAL TABLET, FILM COATED [good sense ibuprofen]",SPL,Drug,OTC Drug,19890915,20991231,,19078461,ibuprofen 200 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"006adf23-21ab-4a4e-aae9-c4e587777165",45680703,"CARE ONE IBUPROFEN - ibuprofen tablet, film coated",SPL,Drug,OTC Drug,20250603,20991231,,19078461,ibuprofen 200 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"0078fb3d-3595-4ae1-a059-1d5e81c879cf",45647307,"CLOPIDOGREL - clopidogrel bisulfate tablet, film coated",SPL,Drug,Prescription Drug,20240517,20991231,,19075601,clopidogrel 75 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"00add4a1-377c-4971-8924-65bb1aa25f2a",45680712,SULFAMETHOXAZOLE AND TRIMETHOPRIM - sulfamethoxazole and trimethoprim tablet,SPL,Drug,Prescription Drug,20120816,20991231,,1836434,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"00bc1e01-f90e-444d-b7d6-807797a1d136",45669470,"IBUPROFEN - ibuprofen tablet, coated",SPL,Drug,OTC Drug,20130627,20991231,,19078461,ibuprofen 200 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
"00bd8490-f280-4336-b13d-0e11c0bf4586",45691742,"UP AND UP NAPROXEN SODIUM - naproxen sodium tablet, film coated",SPL,Drug,OTC Drug,20241230,20991231,,1115171,naproxen sodium 220 MG Oral Tablet,RxNorm,Drug,Clinical Drug,,S
