"concept_id_1","concept_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
19078106,45704929,RxNorm - SPL,20150129,20991231,
19008572,45664836,Mapped from,19700101,20991231,
19008572,45664836,RxNorm - SPL,19700101,20991231,
21600713,21600728,Subsumes,20120815,20991231,
21600729,21600728,Is a,20120815,20991231,
21600734,21600728,Is a,20120815,20991231,
45876034,1617361,Subsumes,19700101,20991231,
3022217,1617361,Contained in panel,19700101,20991231,
1617361,1617361,Maps to,20210823,20991231,
1617361,1617361,Mapped from,20210823,20991231,
3051714,1617361,Contained in panel,19700101,20991231,
3034426,1617361,Contained in panel,19700101,20991231,
3024929,1617361,Contained in panel,19700101,20991231,
1618784,1617361,Subsumes,19700101,20991231,
3013466,1617361,Contained in panel,19700101,20991231,
1511248,830690,RxNorm - SPL,20210620,20991231,
4298484,4296695,Is a,20110731,20991231,
4233946,4296695,Subsumes,20110731,20991231,
4043178,4296695,Subsumes,20110731,20991231,
4231758,4296695,Subsumes,20110731,20991231,
4296695,4296695,Mapped from,19700101,20991231,
4296695,4296695,Maps to,19700101,20991231,
40185280,44350918,RxNorm - SPL,19700101,20991231,
1551192,45745009,RxNorm - SPL,20191208,20991231,
19020053,42506273,RxNorm - SPL,20191013,20991231,
40232448,46297349,RxNorm - SPL,19700101,20991231,
40213230,40213230,Has vaccine group,20230417,20991231,
40213230,40213230,Vaccine group of,20230417,20991231,
40213230,40213230,Mapped from,20170731,20991231,
40213230,40213230,Maps to,20170731,20991231,
739207,44355473,RxNorm - SPL,19700101,20991231,
1551192,42804051,RxNorm - SPL,19700101,20991231,
1836434,46305272,RxNorm - SPL,19700101,20991231,
19019308,45789904,RxNorm - SPL,20150129,20991231,
4000738,4029572,Subsumes,20190731,20991231,
4029572,4029572,Mapped from,19700101,20991231,
4029572,4029572,Maps to,19700101,20991231,
2109906,4029572,CPT4 - SNOMED cat,20230501,20991231,
2109916,4029572,CPT4 - SNOMED cat,20230501,20991231,
4324260,4029572,Subsumes,20110731,20991231,
2780523,4029572,Is a,19700101,20991231,
1003219,1003570,Is a,19700101,20991231,
1002709,1003570,Is a,19700101,20991231,
1003157,1003570,Subsumes,19700101,20991231,
1002795,1003570,Is a,19700101,20991231,
4181488,4181488,Mapped from,19700101,20991231,
4181488,4181488,Maps to,19700101,20991231,
4129899,4181488,Subsumes,20110731,20991231,
195483,4181488,Is a,20110731,20991231,
4181487,4181488,Subsumes,20110731,20991231,
1713694,36319416,RxNorm - SPL,20230108,20991231,
36210656,1988475,Subsumes,19700101,20991231,
1988475,1988475,Maps to,20220216,20991231,
1988475,1988475,Mapped from,20220216,20991231,
1988709,1988475,Contained in panel,19700101,20991231,
19019072,45789039,RxNorm - SPL,20150129,20991231,
1115171,44361403,RxNorm - SPL,19700101,20991231,
19019072,45661538,RxNorm - SPL,19700101,20991231,
1127433,44363530,RxNorm - SPL,19700101,20991231,
3025315,45876172,Is a,19700101,20991231,
45876171,45876172,Subsumes,19700101,20991231,
3038553,45876172,Is a,19700101,20991231,
