0	Source name					NA
1	Number of persons					NA
2	Number of persons by gender	gender_concept_id				NA
3	Number of persons by year of birth	year_of_birth				NA
4	Number of persons by race	race_concept_id				NA
5	Number of persons by ethnicity	ethnicity_concept_id				NA
7	Number of persons with invalid provider_id					NA
8	Number of persons with invalid location_id					NA
9	Number of persons with invalid care_site_id					NA
10	Number of all persons by year of birth by gender	year_of_birth	gender_concept_id			NA
11	Number of non-deceased persons by year of birth by gender	year_of_birth	gender_concept_id			NA
12	Number of persons by race and ethnicity	race_concept_id	ethnicity_concept_id			NA
101	Number of persons by age, with age at first observation period	age				NA
102	Number of persons by gender by age, with age at first observation period	gender_concept_id	age			NA
103	Distribution of age at first observation period					NA
104	Distribution of age at first observation period by gender	gender_concept_id				NA
105	Length of observation (days) of first observation period					NA
106	Length of observation (days) of first observation period by gender	gender_concept_id				NA
107	Length of observation (days) of first observation period by age decile	age decile				NA
108	Number of persons by length of observation period, in 30d increments	Observation period length 30d increments				NA
109	Number of persons with continuous observation in each year	calendar year				NA
110	Number of persons with continuous observation in each month	calendar month				NA
111	Number of persons by observation period start month	calendar month				NA
112	Number of persons by observation period end month	calendar month				NA
113	Number of persons by number of observation periods	number of observation periods				NA
114	Number of persons with observation period before year-of-birth					NA
115	Number of persons with observation period end < observation period start					NA
116	Number of persons with at least one day of observation in each year by gender and age decile	calendar year	gender_concept_id	age decile		NA
117	Number of persons with at least one day of observation in each month	calendar month				NA
118	Number of observation periods with invalid person_id					NA
119	Number of observation period records by period_type_concept_id	period_type_concept_id				NA
200	Number of persons with at least one visit occurrence, by visit_concept_id	visit_concept_id				NA
201	Number of visit occurrence records, by visit_concept_id	visit_concept_id				NA
202	Number of persons by visit occurrence start month, by visit_concept_id	visit_concept_id	calendar month			NA
203	Number of distinct visit occurrence concepts per person					NA
204	Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile	visit_concept_id	calendar year	gender_concept_id	age decile	NA
206	Distribution of age by visit_concept_id	visit_concept_id	gender_concept_id			NA
207	Number of visit records with invalid person_id					NA
208	Number of visit records outside valid observation period					NA
209	Number of visit records with end date < start date					NA
210	Number of visit records with invalid care_site_id					NA
211	Distribution of length of stay by visit_concept_id	visit_concept_id				NA
212	Number of persons with at least one visit occurrence, by calendar year by gender by age decile	calendar year	gender_concept_id	age decile		NA
220	Number of visit occurrence records by visit occurrence start month	calendar month				NA
221	Number of persons by visit start year	calendar year				NA
300	Number of providers					NA
301	Number of providers by specialty concept_id	specialty_concept_id				NA
302	Number of providers with invalid care site id					NA
400	Number of persons with at least one condition occurrence, by condition_concept_id	condition_concept_id				NA
401	Number of condition occurrence records, by condition_concept_id	condition_concept_id				NA
402	Number of persons by condition occurrence start month, by condition_concept_id	condition_concept_id	calendar month			NA
403	Number of distinct condition occurrence concepts per person					NA
404	Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile	condition_concept_id	calendar year	gender_concept_id	age decile	NA
405	Number of condition occurrence records, by condition_concept_id by condition_type_concept_id	condition_concept_id	condition_type_concept_id			NA
406	Distribution of age by condition_concept_id	condition_concept_id	gender_concept_id			NA
409	Number of condition occurrence records with invalid person_id					NA
410	Number of condition occurrence records outside valid observation period					NA
411	Number of condition occurrence records with end date < start date					NA
412	Number of condition occurrence records with invalid provider_id					NA
413	Number of condition occurrence records with invalid visit_id					NA
420	Number of condition occurrence records by condition occurrence start month	calendar month				NA
500	Number of persons with death, by cause_concept_id	cause_concept_id				NA
501	Number of records of death, by cause_concept_id	cause_concept_id				NA
502	Number of persons by death month	calendar month				NA
504	Number of persons with a death, by calendar year by gender by age decile	calendar year	gender_concept_id	age decile		NA
505	Number of death records, by death_type_concept_id	death_type_concept_id				NA
506	Distribution of age at death by gender	gender_concept_id				NA
509	Number of death records with invalid person_id					NA
510	Number of death records outside valid observation period					NA
511	Distribution of time from death to last condition					NA
512	Distribution of time from death to last drug					NA
513	Distribution of time from death to last visit					NA
514	Distribution of time from death to last procedure					NA
515	Distribution of time from death to last observation					NA
600	Number of persons with at least one procedure occurrence, by procedure_concept_id	procedure_concept_id				NA
601	Number of procedure occurrence records, by procedure_concept_id	procedure_concept_id				NA
602	Number of persons by procedure occurrence start month, by procedure_concept_id	procedure_concept_id	calendar month			NA
603	Number of distinct procedure occurrence concepts per person					NA
604	Number of persons with at least one procedure occurrence, by procedure_concept_id by calendar year by gender by age decile	procedure_concept_id	calendar year	gender_concept_id	age decile	NA
605	Number of procedure occurrence records, by procedure_concept_id by procedure_type_concept_id	procedure_concept_id	procedure_type_concept_id			NA
606	Distribution of age by procedure_concept_id	procedure_concept_id	gender_concept_id			NA
609	Number of procedure occurrence records with invalid person_id					NA
610	Number of procedure occurrence records outside valid observation period					NA
612	Number of procedure occurrence records with invalid provider_id					NA
613	Number of procedure occurrence records with invalid visit_id					NA
620	Number of procedure occurrence records  by procedure occurrence start month	calendar month				NA
691	Percentage of total persons that have at least x procedures	procedure_concept_id	procedure_person			NA
