0	synthea	1.6.5	2019-03-12	\N	\N	1120
1	\N	\N	\N	\N	\N	1120
2	8507	\N	\N	\N	\N	562
2	8532	\N	\N	\N	\N	558
3	1908	\N	\N	\N	\N	11
3	1910	\N	\N	\N	\N	18
3	1914	\N	\N	\N	\N	7
3	1929	\N	\N	\N	\N	6
3	1934	\N	\N	\N	\N	13
3	1936	\N	\N	\N	\N	7
3	1938	\N	\N	\N	\N	7
3	1939	\N	\N	\N	\N	7
3	1940	\N	\N	\N	\N	8
3	1941	\N	\N	\N	\N	6
3	1942	\N	\N	\N	\N	9
3	1944	\N	\N	\N	\N	22
3	1945	\N	\N	\N	\N	10
3	1947	\N	\N	\N	\N	12
3	1948	\N	\N	\N	\N	8
3	1950	\N	\N	\N	\N	14
3	1951	\N	\N	\N	\N	9
3	1952	\N	\N	\N	\N	8
3	1953	\N	\N	\N	\N	7
3	1954	\N	\N	\N	\N	11
3	1955	\N	\N	\N	\N	7
3	1956	\N	\N	\N	\N	16
3	1957	\N	\N	\N	\N	19
3	1958	\N	\N	\N	\N	12
3	1959	\N	\N	\N	\N	18
3	1960	\N	\N	\N	\N	16
3	1961	\N	\N	\N	\N	13
3	1962	\N	\N	\N	\N	16
3	1963	\N	\N	\N	\N	12
3	1964	\N	\N	\N	\N	8
3	1965	\N	\N	\N	\N	8
3	1966	\N	\N	\N	\N	18
3	1967	\N	\N	\N	\N	18
3	1968	\N	\N	\N	\N	7
3	1969	\N	\N	\N	\N	17
3	1970	\N	\N	\N	\N	21
3	1971	\N	\N	\N	\N	13
3	1972	\N	\N	\N	\N	13
3	1973	\N	\N	\N	\N	15
3	1974	\N	\N	\N	\N	18
3	1975	\N	\N	\N	\N	20
3	1976	\N	\N	\N	\N	15
3	1977	\N	\N	\N	\N	14
3	1978	\N	\N	\N	\N	13
3	1979	\N	\N	\N	\N	9
3	1980	\N	\N	\N	\N	20
3	1981	\N	\N	\N	\N	14
3	1982	\N	\N	\N	\N	11
3	1983	\N	\N	\N	\N	13
3	1984	\N	\N	\N	\N	16
3	1985	\N	\N	\N	\N	18
3	1986	\N	\N	\N	\N	19
3	1987	\N	\N	\N	\N	15
3	1988	\N	\N	\N	\N	14
3	1989	\N	\N	\N	\N	11
3	1990	\N	\N	\N	\N	24
3	1991	\N	\N	\N	\N	12
3	1992	\N	\N	\N	\N	12
3	1993	\N	\N	\N	\N	12
3	1994	\N	\N	\N	\N	16
3	1995	\N	\N	\N	\N	18
3	1996	\N	\N	\N	\N	11
3	1997	\N	\N	\N	\N	20
3	1998	\N	\N	\N	\N	18
3	1999	\N	\N	\N	\N	8
3	2000	\N	\N	\N	\N	15
3	2001	\N	\N	\N	\N	13
3	2002	\N	\N	\N	\N	13
3	2003	\N	\N	\N	\N	10
3	2004	\N	\N	\N	\N	12
3	2005	\N	\N	\N	\N	8
3	2006	\N	\N	\N	\N	12
3	2007	\N	\N	\N	\N	6
3	2008	\N	\N	\N	\N	8
3	2009	\N	\N	\N	\N	8
3	2010	\N	\N	\N	\N	17
3	2011	\N	\N	\N	\N	18
3	2012	\N	\N	\N	\N	10
3	2013	\N	\N	\N	\N	8
3	2014	\N	\N	\N	\N	15
3	2015	\N	\N	\N	\N	13
3	2016	\N	\N	\N	\N	8
3	2017	\N	\N	\N	\N	8
3	2018	\N	\N	\N	\N	15
4	0	\N	\N	\N	\N	133
4	8515	\N	\N	\N	\N	70
4	8516	\N	\N	\N	\N	82
4	8527	\N	\N	\N	\N	835
5	0	\N	\N	\N	\N	1008
5	38003563	\N	\N	\N	\N	112
10	1908	8532	\N	\N	\N	11
