"care_site_id","care_site_name","place_of_service_concept_id","location_id","care_site_source_value","place_of_service_source_value"
1,PIEDMONT NEWTON HOSPITAL  INC,0,,"0010f8d2-3f48-36fa-850d-eae46aaf0198",
2,SOUTHSIDE FAMILY PRACTICE,0,,"006a272a-a106-3eed-8f1b-1e49841ffc8e",
3,CRISP URGENT CARE AND MEDICAL CENTER,0,,"00cbd770-6e97-3d32-bdbf-0ceeb4eff735",
4,A.G. RHODES HOME WESLEY WOODS,0,,"010c9648-9fd9-38bc-970f-c9b08f9e1a65",
5,J&T FAMILY VENTURES INC,0,,"013d9d52-9c84-3d24-bc02-7e74b1c1ea05",
6,HOSPITAL AUTHORITY OF THE CITY OF BAINBRIDGE AND DECATUR COUNTY,0,,"01690a53-2b74-34d1-877a-06ba951253ae",
7,ATHENS FAMILY MEDICINE  INC,0,,"032c878e-bf86-372f-9d85-9f5e8d1e079b",
8,KENNESAW HEALTH AND WELLNESS CENTER LLC,0,,"033897d3-c871-3710-bdfc-78215ab7496b",
9,SEARS MANOR NURSING HOME,0,,"05648cbf-8fc0-397e-b88e-ad7686f445d5",
10,BALANCED FAMILY WELLNESS,0,,"078a5440-2dd5-3461-a6a0-fa0e2d73222e",
11,SOUTHLAND HEALTH AND REHABILITATION,0,,"09d9b6c0-a0d2-3d3d-993c-a111d494aa68",
12,THE MEDICAL CENTER  INC.,0,,"0af8eddd-514b-3a5d-99b9-88f5e3c95fc4",
13,ALPHA FAMILY MEDICINE INC,0,,"0e144a7d-f037-3e1a-abbf-28d992bfafa7",
14,MAGNOLIA MANOR OF ST SIMONS INC,0,,"0e75e9ff-c12d-3035-9111-c094600acb14",
15,PIEDMONT FAYETTE HOSPITAL,0,,"0faad867-f194-3d1f-9db1-b92b144b413f",
16,UNIVERSITY HEALTH RESOURCES  INC.,0,,"0fc0a6f4-904f-3c48-bb0b-74f866f28855",
17,GUARDIAN HOME CARE OF NORTHEAST GEORGIA,0,,"0ff20a04-d105-3174-8071-f4130ea1bf1e",
18,PREMIER FAMILY CLINIC,0,,"11069bf7-7302-3a21-b8ad-bfa1fd4ee733",
19,SANDY SPRINGS FAMILY MEDICINE AND URGENT CARE,0,,"1158f388-ecc2-3b9f-ab95-59f880e401df",
20,RV BEHAVIORAL  LLC,0,,"11feb060-b0c0-30ba-870b-3026504ec490",
21,NEWTOWN PARK MEDICAL CLINIC AND GERIATRICS LLC,0,,"1249788c-8ad2-36f4-a1ee-63478e965955",
22,MATCH HEALTHCARE CONSULTING,0,,"12f65d67-9ab4-3eb6-a2c5-3e23de52b788",
23,KINDRED HOSPICE,0,,"131b5414-9727-3539-893c-ae9ead4c9c8a",
24,RICHMOND HILL FAMILY PRACTICE AND URGENT CARE LLC,0,,"13debfa0-7312-3969-851e-00d1b83c5943",
25,LIFEBRITE COMMUNITY HOSPITAL OF EARLY,0,,"13fc61db-6999-36a0-b480-fd07571a5e24",
26,PRUITTHEALTH - AUGUSTA,0,,"1528a940-25a1-34ce-a3aa-b93ec20e25d1",
27,LENTZ URGENT CARE & FAMILY MED INC,0,,"16c011d4-1946-3b9b-b68a-2fe407f31d3c",
28,PRUITTHEALTH - AUGUSTA HILLS,0,,"174f104d-0c6e-3524-81ef-9c1e9425e1a4",
29,OPTIMAL HEALTHCARE SOLUTIONS LLC,0,,"18ad603b-7abb-34a0-ac8c-87c26e09ada0",
30,REHABILITATION CENTER OF SOUTH GEORGIA,0,,"18fcd927-2353-3744-be56-c89cbd5b3820",
31,TY COBB HEALTHCARE SYSTEM  INC.,0,,"19bb9982-19eb-3fdf-87eb-0e2327b5224f",
32,GRADY MEMORIAL HOSPITAL CORPORATION,0,,"19e88089-3c69-34d5-9651-9824a57f5683",
33,GENESYS FAMILY PRACTICE  INC.,0,,"1ae216da-6118-30ca-94fc-9efb3dde39c4",
34,AFC PHYSICIANS OF GEORGIA URGENT CARE PC,0,,"1b2e49a9-9d69-360e-a719-98458ba0923a",
35,DOUGLASVILLE NURSING AND REHABILITATION CENTER,0,,"1ba9a112-ab55-34bb-884f-f197920ad9e6",
36,OAK VIEW HOME  INC,0,,"1bdfa144-77be-39c0-a9e4-3c7f086c949b",
37,TIFT REGIONAL MEDICAL CENTER,0,,"1c9347c3-abf3-3456-a4ba-1314b984f884",
38,NORTHSIDE HOSPITAL INC.,0,,"1ce47558-4a41-38f2-9b72-b493f7576cb7",
39,TIFTON FAMILY MEDICINE  PC,0,,"1e1e36d3-0cad-3142-b499-c894ddd09309",
40,CHRISTIAN CITY REHABILITATION CENTER,0,,"20f6216a-fadd-32ba-a78b-ad08de4dad71",
41,FAMILY PRACTICE HEALTHCARE CLINIC/URGENT CARE CLINIC  LLC,0,,"2112aaf4-6d15-3f0c-9e5d-3fe9dd571869",
