Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,5081328.41,294335.08,653694.30,1543,0,1596,0,2895,0,411,0,28,0.7105129722352057,3960
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,9633327.62,153540.18,61940.00,2001,0,440,0,3250,0,824,0,25,0.9379048551832557,6228
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,418063.43,3034.79,2330.00,47,0,78,0,110,0,26,0,3,0.704604197566168,240
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,11162140.32,3643136.64,3339630.00,3005,0,1553,0,4669,0,1220,0,30,0.9425102838729129,9936
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2559623.17,805220.14,1518849.00,975,0,435,0,1173,0,394,0,39,0.38526674914191755,5628
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2311092.08,421684.49,792225.00,1469,0,769,0,1801,0,258,0,11,0.8059921815004055,1620
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2906714.57,1188753.76,300875.84,1608,0,1121,0,2011,0,320,0,28,0.8542336181534139,3024
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,4233317.59,1413257.41,478010.11,1431,0,821,0,2381,0,371,0,30,0.884424208554268,3672
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,3830322.69,850976.87,551879.74,1053,0,574,0,2003,0,260,0,29,0.8976403477472445,2928
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,19755958.63,0.00,0,4481,0,1239,0,7468,0,1656,45,0.9785822332760149,17256
