Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
01690a53-2b74-34d1-877a-06ba951253ae,HOSPITAL AUTHORITY OF THE CITY OF BAINBRIDGE AND DECATUR COUNTY,1501 MILULI AVE,BAINBRIDGE,GA,398195700,30.900335,-84.553619,2292430152,0.0,360
8d66ee46-868f-3a71-97e3-10bb0ba26bb4,COBB HOSPITAL INC,3950 AUSTELL RD,AUSTELL,GA,301061121,33.8126059,-84.6343783,4706440012,0.0,1790
c17fab8f-a897-39ef-88e1-2117c4e832bd,NORTHEAST GEORGIA PHYSICIANS GROUP URGENT CARE LLC,743 SPRING ST NE,GAINESVILLE,GA,305012545,34.3044194,-83.8162306544173,7702198420,0.0,21
d5090435-301c-323e-ac7a-af8eb1d275c3,TOTAL HEALTH SOLUTIONS MEDICAL CENTER,12220 BIRMINGHAM HWY STE A,MILTON,GA,300044184,34.0920046,-84.3396005,7707515700,0.0,19
92d034d8-abef-3438-99a8-7dec2107bc8b,LAKE CITY NURSING AND REHABILITATION CENTER LLC,2055 REX ROAD,LAKE CITY,GA,302603944,33.599309346938774,-84.32207779591836,4043615114,0.0,3
972538af-d299-384a-af70-705b0f6758fc,Milledgeville Community Based Outpatient Clinic,2249 Vinson Hwy SE,Milledgeville,GA,31061,33.047714,-83.212585,478-414-4540,0.0,384
33b5d6c0-fb79-3131-ae41-75edd070942b,LIFEBRITE HOSPITAL GROUP OF EARLY LLC,11740 COLUMBIA ST,BLAKELY,GA,398232574,31.3773475,-84.9343388,2297234841,0.0,104
9f2345a8-b226-31c1-b9a6-ee51cd949b4d,URGENT CARE OF OCONEE  LLC,2061 EXPERIMENT STATION RD,WATKINSVILLE,GA,306775328,33.867255650000004,-83.41415563199973,7063100324,0.0,2
723b799b-fb6a-39ea-ab84-da2e56813002,NGMC LUMPKIN LLC,227 MOUNTAIN DR,DAHLONEGA,GA,305331606,34.522819850000005,-83.97554514259969,7702199000,0.0,91
6856f0ff-d729-3c9c-aeae-a94431c13a31,HEALING HEART URGENT CARE LLC,2484 BRIARCLIFF ROAD,ATLANTA,GA,30329,33.828095,-84.331557,4048094300,0.0,4
e1a17ffd-2098-30aa-8d49-396db725dbbf,GOLD CITY HEALTH AND REHAB,222 MOORE DRIVE,DAHLONEGA,GA,305330441,34.5328484,-83.9845723,7068643045,0.0,1
38ecd55b-64ae-303d-b9ea-8ef3f1d6821b,ANYTIME MD URGENT CARE LLC,4898 AUSTELL RD,AUSTELL,GA,301062055,33.8126059,-84.6343783,7706358407,0.0,8
437facbf-64d9-3f6e-889c-18697614881e,PREMIER HEALTHCARE INVESTMENTS,509 SUMTER ST,MONTEZUMA,GA,310631733,32.2949104,-84.03056516369465,4784723100,0.0,28
96fceadc-206a-3f06-85db-119ca8082726,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,SANDY SPRINGS,GA,303285338,33.9242688,-84.3785379,4046055000,0.0,269
